City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Assiniboia,CA,78.71,overcast clouds,49.6334,-105.9845,Canalta Hotel Assiniboia
1,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
2,Port Blair,IN,82.0,clear sky,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
7,Bara,NG,80.78,overcast clouds,10.3744,10.7288,
14,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Annau,TM,85.5,scattered clouds,37.8876,58.516000000000005,Buzmein Sokak
20,Road Town,VG,84.24,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
23,Gaoual,GN,82.24,overcast clouds,11.75,-13.2,Hotel koliba
30,Devils Lake,US,75.31,clear sky,48.1128,-98.8651,"Holiday Inn Express Devils Lake, an IHG Hotel"
33,Faanui,PF,78.48,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
36,Faya,SA,77.11,clear sky,18.3851,42.4509,مقبرة ال مجمل
37,Hilo,US,83.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
38,Puerto Palomas,MX,89.42,clear sky,31.7667,-107.6167,Hotel San Carlos
39,Soyo,AO,77.38,scattered clouds,-6.1349,12.3689,Hotel Mpampa
43,Adre,TD,87.89,broken clouds,13.4667,22.2,
47,Atuona,PF,78.96,overcast clouds,-9.8,-139.0333,Villa Enata
49,Bam,IR,88.29,clear sky,29.105999999999998,58.357,Bam Tourist Hotel
60,Camopi,GF,75.85,light rain,3.1655,-52.3158,
62,Jalu,LY,81.23,clear sky,29.0331,21.5482,صاحبة الفخامة
75,Adrar,MR,89.51,broken clouds,20.5022,-10.0711,
80,Maunabo,PR,87.66,few clouds,18.0072,-65.8993,Maunacaribe
88,Vallenar,CL,83.91,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
89,Butaritari,KI,83.59,broken clouds,3.0707,172.7902,Isles Sunset Lodge
95,Baraboo,US,75.27,clear sky,43.4711,-89.7443,Thunderbird Motor Inn
97,Malakal,SS,89.28,few clouds,9.5334,31.6605,Nile Palace Hotel
99,Fonte Boa,BR,81.34,broken clouds,-2.4959,-66.2662,
103,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
105,Vera Cruz,BR,81.97,few clouds,-12.6333,-41.0333,
106,Georgetown,MY,80.55,few clouds,5.4112,100.3354,Cititel Penang
108,Gazanjyk,TM,76.73,clear sky,39.2446,55.5154,Railway motel
109,Terra Santa,BR,83.75,overcast clouds,-2.1042,-56.4869,Hotel Sarah
111,Bandarbeyla,SO,79.27,overcast clouds,9.4942,50.8122,JABIR HOTEL
116,Chirongui,YT,75.13,clear sky,-12.9319,45.1483,La Villa Mahatsara
117,Bengkulu,ID,75.54,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
124,Rayadrug,IN,77.18,broken clouds,14.7,76.8667,Mali arts
129,Labuhan,ID,76.6,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
132,Avera,US,80.26,broken clouds,33.194,-82.5271,
135,Podor,MR,83.71,scattered clouds,16.6527,-14.9587,Auberge Du Tékrour
141,Morant Bay,JM,85.62,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
142,Padang,ID,77.0,scattered clouds,-0.9492,100.3543,Mercure Padang
144,Wamba,NG,78.76,broken clouds,8.9333,8.6,Roma Zee Guest House Annex
145,Fuerte Olimpo,PY,76.48,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
146,Boffa,GN,78.6,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
150,Douglas,US,76.14,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
154,Elko,US,78.06,few clouds,41.0002,-115.5012,
164,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
168,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
171,Sao Felix Do Xingu,BR,77.92,clear sky,-6.6447,-51.995,Rio Xingu Camping
172,Cayenne,GF,77.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
176,Ternate,ID,81.86,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
180,Nizwa,OM,88.68,overcast clouds,22.9333,57.5333,Orient Apartments
182,Conakry,GN,82.47,broken clouds,9.538,-13.6773,Riviera Royal Hotel
184,Kavieng,PG,80.13,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
187,Matara,LK,79.77,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
194,Alofi,NU,75.09,light rain,-19.0595,-169.9187,Taloa Heights
195,San Cristobal,VE,80.78,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
201,Koundara,GN,83.66,overcast clouds,12.4833,-13.3,
203,Khairabad,IN,87.84,few clouds,27.5333,80.75,CHANDRA MARRIAGE LAWN & BANQUET HALL
205,Thinadhoo,MV,84.02,broken clouds,0.5333,72.9333,
209,Kattivakkam,IN,78.89,broken clouds,13.2167,80.3167,Raj's villa
212,Inirida,CO,81.48,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
216,Malpe,IN,78.1,broken clouds,13.35,74.7167,Hotel Sri Krishna Residency
222,Robertsport,LR,77.9,light rain,6.7533,-11.3686,Kwepunha Retreat
227,San Patricio,US,88.52,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
228,Bud,US,75.24,broken clouds,39.446999999999996,-86.1758,Ted McQuinn Trust
230,The Valley,AI,84.81,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
231,Ponot,PH,76.66,moderate rain,8.452,123.0222,Jose Dalman Municipal Building
238,Jaisalmer,IN,84.54,clear sky,26.9147,70.9181,Hotel Fifu
239,Bubaque,GW,78.28,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
240,Opelousas,US,87.87,overcast clouds,30.5335,-92.0815,Holiday Inn & Suites Opelousas
243,Dalbandin,PK,86.63,clear sky,28.8947,64.4101,Sanjrani House
245,Celestun,MX,85.37,few clouds,20.8667,-90.4,Posada Lilia
247,Pumiao,CN,79.2,overcast clouds,22.75,108.4833,Mushang Boutique Hotel
248,Merauke,ID,75.47,scattered clouds,-8.4667,140.3333,
249,Black River,JM,84.2,moderate rain,18.0264,-77.8487,Idlers' Rest Beach Hotel
255,Areia Branca,BR,81.09,broken clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
256,Sibolga,ID,76.66,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
260,Namatanai,PG,79.88,light rain,-3.6667,152.4333,Namatanai Hotel
263,Pochutla,MX,89.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
266,Sinnamary,GF,77.2,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
268,Juventino Rosas,MX,86.76,overcast clouds,20.65,-101.0,Hotel Plaza
269,Phan Thiet,VN,79.34,broken clouds,10.9333,108.1,Hotel Saigon-PT
278,Carlyle,US,77.27,broken clouds,38.6103,-89.3726,Mariner's Village at Carlyle Lake
281,Barra Patuca,HN,84.58,clear sky,15.8,-84.2833,
283,Las Tunas,CU,82.06,scattered clouds,20.9617,-76.9511,Hotel Cadillac
287,San Lorenzo,PY,76.59,clear sky,-25.3333,-57.5333,Hotel del Sur
289,Tual,ID,81.5,clear sky,-5.6667,132.75,Grand Vilia Hotel
291,Ilheus,BR,80.42,few clouds,-14.7889,-39.0494,Barravento Hotel
294,Hirara,JP,79.75,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
296,Hambantota,LK,79.86,overcast clouds,6.1241,81.1185,Bungalow 63
300,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
303,Kahului,US,86.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
313,Jaffna,LK,84.15,overcast clouds,9.6685,80.0074,Green Grass Hotel & Restaurant
317,Merritt,CA,78.46,overcast clouds,50.1123,-120.7942,Ramada Limited Merritt
319,Almeirim,BR,79.34,scattered clouds,-1.5233,-52.5817,Ricácio Hotel
322,Wanning,CN,82.13,overcast clouds,18.8003,110.3967,Paradise Hotel
324,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
326,Kalmunai,LK,80.91,overcast clouds,7.4167,81.8167,VS Villa
331,Gravelbourg,CA,77.27,overcast clouds,49.8834,-106.5512,Historic Bishops Residence Bed & Breakfast
333,Puerto Escondido,MX,87.24,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
334,Keti Bandar,PK,83.44,scattered clouds,24.1447,67.4497,Haji laloo memon house
338,Kavaratti,IN,83.46,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
341,Luganville,VU,76.51,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
342,Lompoc,US,80.74,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
343,Sakakah,SA,89.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
344,Kanbe,MM,80.65,broken clouds,16.7053,96.0017,CBT Mingalar Bar Bio Garden
346,Baghdad,IQ,84.11,clear sky,33.3406,44.4009,Baghdad Hotel
348,Batobato,PH,76.98,moderate rain,6.8252,126.0846,Huyaanan Hotel
350,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
358,Virden,US,75.06,overcast clouds,39.5009,-89.7679,Virden Nail Spa
364,Oistins,BB,86.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
366,Saint Anthony,US,78.89,clear sky,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
370,Raga,SS,81.68,scattered clouds,8.4596,25.678,
372,Nhulunbuy,AU,75.81,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
378,Samana,DO,88.02,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
383,Hope,US,83.28,overcast clouds,33.6671,-93.5916,Best Western Hope
389,Makakilo City,US,85.6,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
393,Hailey,US,76.89,scattered clouds,43.5196,-114.3153,Wood River Inn & Suites
395,Alta Floresta,BR,89.42,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
399,San Juan,AR,75.72,clear sky,-31.5375,-68.5364,Hotel Provincial
400,Lorengau,PG,80.71,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
401,Puerto Maldonado,PE,75.6,broken clouds,-12.6,-69.1833,Wasai Hotel
405,Salalah,OM,81.37,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
406,Morehead,US,76.98,clear sky,37.2711,-87.1764,CCI Express Inn
409,Portland,US,87.6,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
411,Pangai,TO,75.31,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
412,Linqiong,CN,75.02,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
414,Gorontalo,ID,75.54,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
415,Pitimbu,BR,79.39,clear sky,-7.4706,-34.8086,Reserva do Abiaí
416,Weatherford,US,77.27,heavy intensity rain,32.7593,-97.7972,"Candlewood Suites Weatherford, an IHG Hotel"
432,Tabou,CI,76.3,moderate rain,4.423,-7.3528,hotêl doufoulougou
433,Santa Cruz Del Sur,CU,82.62,heavy intensity rain,20.7147,-77.9956,
434,Puerto Baquerizo Moreno,EC,79.79,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
436,Tamandare,BR,76.89,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
439,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
446,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
447,Marrakesh,MA,78.87,broken clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
449,Anicuns,BR,75.9,broken clouds,-16.4611,-49.9617,Hotel Florida
451,Vilhena,BR,84.42,scattered clouds,-12.7406,-60.1458,Hotel Mirage
455,Miri,MY,77.14,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
456,Omboue,GA,76.14,overcast clouds,-1.5746,9.2618,Hotel Olako
458,Samarai,PG,78.37,overcast clouds,-10.6167,150.6667,Nuli Sapi
459,Yangjiang,CN,82.11,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
465,Urucara,BR,83.57,overcast clouds,-2.5364,-57.76,Hotel japa
468,Mawlaik,MM,76.26,overcast clouds,23.6333,94.4167,AKZ Guest House
471,Guilin,CN,77.11,scattered clouds,25.2819,110.2864,Grand 0773 Hotel
475,Oranjestad,AW,87.75,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
477,Moa,CU,82.81,broken clouds,20.6569,-74.9403,Carmen
478,Hamilton,US,76.59,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
479,Palmira,CO,85.48,scattered clouds,3.5394,-76.3036,Hotel Las Victorias
482,Najran,SA,86.65,clear sky,17.4924,44.1277,محمد هادي ال فطيح
483,Daru,PG,77.4,broken clouds,-9.0763,143.2092,Daru Lodge
488,Hithadhoo,MV,83.59,broken clouds,-0.6,73.0833,Scoop Guest House
489,Isla Vista,US,84.99,few clouds,34.4133,-119.861,Best Western Plus South Coast Inn
495,Buchanan,LR,76.96,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
498,Myanaung,MM,81.21,overcast clouds,18.2833,95.3167,Taung Hlay Khar
499,Fare,PF,78.1,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
506,Awbari,LY,87.87,clear sky,26.5921,12.7805,فندق أوباري
507,Makurdi,NG,77.72,light rain,7.7411,8.5121,Doo Palace Hotel
508,Weligama,LK,79.99,overcast clouds,5.9667,80.4167,Weligama Bay Resort
517,Santa Barbara,US,77.99,clear sky,34.7333,-120.0343,Upper Ballard Campground
518,Kandrian,PG,77.61,moderate rain,-6.2167,149.55,Kandrian Station
519,Dinguiraye,GN,75.7,moderate rain,11.3,-10.7167,
522,Takoradi,GH,78.76,overcast clouds,4.8845,-1.7554,Raybow International Hotel
525,Cacu,BR,78.06,overcast clouds,-18.5567,-51.1308,Império Hotel
529,Abha,SA,76.82,clear sky,18.2164,42.5053,Abha Hotel
531,Cockburn Town,TC,80.15,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
537,Manoel Urbano,BR,77.68,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
548,Harper,LR,76.53,light rain,4.375,-7.7169,Screensaver
549,West Wendover,US,79.79,few clouds,40.7391,-114.0733,"Motel 6 Wendover, UT"
550,Gunjur,GM,77.07,scattered clouds,13.2019,-16.7339,Kuba Lodge
553,Bujaru,BR,89.62,scattered clouds,-1.515,-48.0447,Hotel & Restaurante Beira Rio
556,Piacabucu,BR,76.93,few clouds,-10.4056,-36.4344,Piaçabuçu News
559,Victoria,HK,81.32,moderate rain,22.2855,114.1577,Mini Hotel Central
567,Pali,IN,89.01,broken clouds,25.7667,73.3333,Seervi Hostel
577,Nushki,PK,82.74,clear sky,29.5542,66.0215,Jahangir Hotel Noshki
582,Karaton,ID,79.95,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
585,Malabugas,PH,79.23,moderate rain,9.3681,122.7678,HOTEL MAEFINN
586,Sao Miguel,BR,82.72,few clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
587,Kralendijk,BQ,80.49,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
589,Catemaco,MX,85.75,broken clouds,18.4167,-95.1167,Hotel Playa Cristal
596,Varzea Grande,BR,80.47,few clouds,-15.6467,-56.1325,Hotel Express
606,Tiarei,PF,84.22,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
617,Saravena,CO,87.53,scattered clouds,6.9538,-71.8752,Hotel Diamante Saravena
623,Greenville,US,76.62,clear sky,35.6127,-77.3663,the 5th Street Inn
635,La Crosse,US,75.76,scattered clouds,43.8014,-91.2396,Holiday Inn & Suites la Crosse - Downtown
637,Winnemucca,US,82.11,scattered clouds,40.973,-117.7357,Winners Inn Casino
645,Bachaquero,VE,87.21,overcast clouds,9.9694,-71.1494,casa de los dinosaurios
655,Lagos,NG,84.52,overcast clouds,6.5833,3.75,
657,Lincoln,US,76.28,broken clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
658,Diego De Almagro,CL,76.33,clear sky,-26.3667,-70.05,hotel luna del desierto
659,Esfahan,IR,76.64,clear sky,32.6572,51.6776,Abbasi Hotel
660,Gamboma,CG,79.27,broken clouds,-1.8764,15.8644,Residence N'Keni
661,Tonantins,BR,83.62,few clouds,-2.8731,-67.8022,Hotel Rei Davi
662,Itapaci,BR,78.4,broken clouds,-14.9508,-49.5494,Gold Pallace Hotel
665,Trairi,BR,79.48,clear sky,-3.2778,-39.2689,janelas do mar
667,Calape,PH,78.78,overcast clouds,9.8922,123.8748,Calape Forest Resort
670,Sitio Novo Do Tocantins,BR,78.62,clear sky,-5.5183,-47.4611,Imperial Hotel
671,Dingle,PH,77.7,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
675,Casa Nova,BR,81.93,broken clouds,-9.4167,-41.1333,Pousada e Restaurante Dona Xinha
676,Brigantine,US,75.0,overcast clouds,39.4101,-74.3646,Legacy Vacation Resort Brigantine Beach
685,Beni Mazar,EG,85.06,clear sky,28.4962,30.8029,Link Co-Working space & Development center
692,Pasuruan,ID,78.69,broken clouds,-7.6453,112.9075,Pasuruan Hotel
694,Abu Zabad,SD,89.46,few clouds,12.35,29.25,حامد محمد نور
695,Negombo,LK,84.25,few clouds,7.2083,79.8358,Hotel Sunset Beach
697,Grenville,GD,80.82,overcast clouds,12.1167,-61.6167,Valley Breeze Guest House
702,Zhicheng,CN,75.76,light rain,30.2956,111.5047,Wangjiang Building
711,Cordoba,AR,77.85,clear sky,-31.4135,-64.1811,Hotel Sussex
712,Nalut,LY,86.95,few clouds,30.3333,10.85,
716,Mutata,CO,79.77,overcast clouds,7.2441,-76.4356,RESIDENCIA ZULIMA
